# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2025-04-17 02:54:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\bernoulli\bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 1221890664 (Default)
# output
#   file = examples\bernoulli\output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.01208
# Diagonal elements of inverse mass matrix:
# 0.584056
-6.99709,1,1.01208,1,1,0,7.46584,0.169378
-7.24599,0.940921,1.01208,1,3,0,7.58592,0.386057
-6.78548,1,1.01208,2,3,0,7.06783,0.285207
-6.75461,1,1.01208,1,1,0,6.77493,0.264531
-6.75615,0.969729,1.01208,2,3,0,6.87965,0.266157
-6.93797,0.936693,1.01208,2,3,0,7.03785,0.178696
-7.24346,0.97062,1.01208,2,3,0,7.29337,0.38569
-6.8289,0.911732,1.01208,2,3,0,7.65438,0.202106
-6.81008,1,1.01208,1,1,0,6.83911,0.207778
-6.89751,0.930036,1.01208,2,3,0,7.2846,0.186131
-6.89751,0.653109,1.01208,1,3,0,8.40217,0.186131
-6.99413,0.911875,1.01208,2,3,0,7.69449,0.169811
-6.90922,1,1.01208,1,1,0,7.00245,0.183869
-7.39324,0.884128,1.01208,1,3,0,7.64601,0.406148
-7.39324,0.450933,1.01208,1,3,0,9.09983,0.406148
-7.42087,0.988092,1.01208,1,1,0,7.68162,0.40967
-7.99617,0.899818,1.01208,2,3,0,8.24333,0.471617
-6.90389,1,1.01208,1,1,0,7.5625,0.323703
-6.79823,0.920446,1.01208,2,3,0,7.23518,0.211851
-6.96895,0.952586,1.01208,1,1,0,6.9696,0.173621
-6.90313,1,1.01208,1,1,0,6.98384,0.185034
-7.2987,0.903826,1.01208,1,3,0,7.53784,0.39353
-6.89793,1,1.01208,1,1,0,7.16979,0.322214
-6.89793,0.666391,1.01208,1,1,0,7.48784,0.322214
-6.93677,0.984786,1.01208,1,1,0,6.98915,0.331481
-6.87276,0.82563,1.01208,2,3,0,7.61906,0.191283
-6.87276,0.514997,1.01208,1,3,0,10.2114,0.191283
-8.13636,0.803427,1.01208,1,3,0,8.22248,0.0873402
-8.48882,0.953873,1.01208,1,1,0,8.66303,0.0744621
-8.9459,0.94915,1.01208,1,1,0,9.12933,0.0612838
-9.69557,0.933557,1.01208,1,1,0,9.84117,0.0453882
-9.33032,1,1.01208,1,1,0,9.94922,0.0524132
-7.87337,1,1.01208,1,1,0,9.13665,0.0991373
-7.75906,1,1.01208,1,1,0,8.04481,0.105039
-7.36188,1,1.01208,1,1,0,7.74522,0.13096
-7.89383,0.90625,1.01208,1,1,0,7.9341,0.0981359
-7.89325,1,1.01208,1,1,0,8.1418,0.0981641
-6.94576,1,1.01208,1,3,0,7.69094,0.177375
-7.04832,0.974311,1.01208,1,1,0,7.08449,0.16236
-7.46175,0.970516,1.01208,2,3,0,7.47693,0.12344
-8.00268,0.909247,1.01208,1,1,0,8.05356,0.0930584
-6.995,1,1.01208,2,3,0,7.67674,0.343861
-6.75613,1,1.01208,1,3,0,6.90787,0.266134
-6.77493,0.951179,1.01208,2,3,0,6.92385,0.279719
-6.98372,0.506384,1.01208,2,3,0,9.35686,0.341578
-6.98372,0.400594,1.01208,1,1,0,8.22522,0.341578
-6.77731,0.974749,1.01208,2,3,0,7.12769,0.22059
-7.70322,0.81735,1.01208,1,3,0,7.799,0.108128
-6.86328,1,1.01208,1,3,0,7.51809,0.193413
-7.57169,0.851345,1.01208,2,3,0,8.04142,0.116031
-7.47125,1,1.01208,1,1,0,7.69792,0.122766
-7.47125,0.882239,1.01208,1,1,0,8.10536,0.122766
